Location,Rate,Rate_Percent,County,Type,Notes
Eastvale,0.0775,7.75,Riverside,City,
El Cajon,0.0825,8.25,San Diego,City,
El Centro,0.0825,8.25,Imperial,City,
El Cerrito,0.1025,10.25,Contra Costa,City,
El Dorado County,0.0725,7.249999999999999,El Dorado,County,
Elk Grove,0.0875,8.75,Sacramento,City,
El Monte,0.105,10.5,Los Angeles,City,
El Segundo,0.0975,9.75,Los Angeles,City,
Emeryville,0.105,10.5,Alameda,City,
Encinitas,0.0775,7.75,San Diego,City,
Escalon,0.0875,8.75,San Joaquin,City,
Escondido,0.0875,8.75,San Diego,City,
Etna,0.0725,7.249999999999999,Siskiyou,City,
Eureka,0.1025,10.25,Humboldt,City,
Exeter,0.0875,8.75,Tulare,City,
Fairfax,0.09,9.0,Marin,City,
Fairfield,0.08375,8.375,Solano,City,
Farmersville,0.0875,8.75,Tulare,City,
Ferndale,0.095,9.5,Humboldt,City,
Fillmore,0.0725,7.249999999999999,Ventura,City,
Firebaugh,0.07975,7.9750000000000005,Fresno,City,
Folsom,0.0775,7.75,Sacramento,City,
Fontana,0.0875,8.75,San Bernardino,City,
Fort Bragg,0.0925,9.25,Mendocino,City,
Fort Jones,0.0725,7.249999999999999,Siskiyou,City,
Fortuna,0.095,9.5,Humboldt,City,
Foster City,0.09375,9.375,San Mateo,City,
Fountain Valley,0.0875,8.75,Orange,City,
Fowler,0.08975,8.975,Fresno,City,
Fremont,0.1025,10.25,Alameda,City,
Fresno,0.0835,8.35,Fresno,City,
Fresno County,0.07975,7.9750000000000005,Fresno,County,
Fullerton,0.0775,7.75,Orange,City,
Galt,0.0925,9.25,Sacramento,City,
Gardena,0.105,10.5,Los Angeles,City,
Garden Grove,0.0875,8.75,Orange,City,
Gilroy,0.09125,9.125,Santa Clara,City,
Glendale,0.105,10.5,Los Angeles,City,
Glendora,0.1075,10.75,Los Angeles,City,
Glenn County,0.0725,7.249999999999999,Glenn,County,
Goleta,0.0875,8.75,Santa Barbara,City,
Gonzales,0.0875,8.75,Monterey,City,
Grand Terrace,0.0775,7.75,San Bernardino,City,
Grass Valley,0.08875,8.875,Nevada,City,
Greenfield,0.095,9.5,Monterey,City,
Gridley,0.0825,8.25,Butte,City,
Grover Beach,0.0875,8.75,San Luis Obispo,City,
Guadalupe,0.0875,8.75,Santa Barbara,City,
Gustine,0.0825,8.25,Merced,City,
Half Moon Bay,0.09875,9.875,San Mateo,City,
Hanford,0.0825,8.25,Kings,City,
Hawaiian Gardens,0.105,10.5,Los Angeles,City,
Hawthorne,0.105,10.5,Los Angeles,City,
Hayward,0.1075,10.75,Alameda,City,
Healdsburg,0.0975,9.75,Sonoma,City,
Hemet,0.0875,8.75,Riverside,City,
Hercules,0.0925,9.25,Contra Costa,City,
Hermosa Beach,0.0975,9.75,Los Angeles,City,
Hesperia,0.0775,7.75,San Bernardino,City,
Hidden Hills,0.0975,9.75,Los Angeles,City,
Highland,0.0775,7.75,San Bernardino,City,
Hillsborough,0.09375,9.375,San Mateo,City,
Hollister,0.0925,9.25,San Benito,City,
Holtville,0.0775,7.75,Imperial,City,
Hughson,0.07875,7.875,Stanislaus,City,
Humboldt County,0.0875,8.75,Humboldt,County,
Huntington Beach,0.0775,7.75,Orange,City,
Huntington Park,0.105,10.5,Los Angeles,City,
Huron,0.08975,8.975,Fresno,City,
Imperial,0.0775,7.75,Imperial,City,
Imperial Beach,0.0875,8.75,San Diego,City,
Imperial County,0.0775,7.75,Imperial,County,
Indian Wells,0.0775,7.75,Riverside,City,
Indio,0.0875,8.75,Riverside,City,
Inglewood,0.1025,10.25,Los Angeles,City,
Inyo County,0.0775,7.75,Inyo,County,
Ione,0.0775,7.75,Amador,City,
Irvine,0.0775,7.75,Orange,City,
Irwindale,0.1075,10.75,Los Angeles,City,
Isleton,0.0875,8.75,Sacramento,City,
Jackson,0.0775,7.75,Amador,City,
Jurupa Valley,0.0775,7.75,Riverside,City,
Kerman,0.08975,8.975,Fresno,City,
Kern County,0,0,County,Please refer to the applicable tax rates for the unincorporated area and incorporated cities within Kern County.,
Kern County Unincorporated Area,0.0825,8.25,Kern,County,This tax rate applies only to unincorporated areas of Kern County. Please refer to the applicable incorporated city within the county for that city's tax rate.
King City,0.0875,8.75,Monterey,City,
Kingsburg,0.08975,8.975,Fresno,City,
Kings County,0.0725,7.249999999999999,Kings,County,
La Cañada Flintridge,0.105,10.5,Los Angeles,City,
Lafayette,0.0925,9.25,Contra Costa,City,
Laguna Beach,0.0775,7.75,Orange,City,
Laguna Hills,0.0775,7.75,Orange,City,
Laguna Niguel,0.0775,7.75,Orange,City,
Laguna Woods,0.0775,7.75,Orange,City,
La Habra,0.0875,8.75,Orange,City,
La Habra Heights,0.0975,9.75,Los Angeles,City,
Lake County,0.0725,7.249999999999999,Lake,County,
Lake Elsinore,0.0875,8.75,Riverside,City,
Lake Forest,0.0775,7.75,Orange,City,
Lakeport,0.0875,8.75,Lake,City,
Lakewood,0.105,10.5,Los Angeles,City,
La Mesa,0.085,8.5,San Diego,City,
La Mirada,0.0975,9.75,Los Angeles,City,
Lancaster,0.1125,11.25,Los Angeles,City,
La Palma,0.0875,8.75,Orange,City,
La Puente,0.1025,10.25,Los Angeles,City,
La Quinta,0.0875,8.75,Riverside,City,
Larkspur,0.0925,9.25,Marin,City,
Lassen County,0.0725,7.249999999999999,Lassen,County,
Lathrop,0.0875,8.75,San Joaquin,City,
La Verne,0.105,10.5,Los Angeles,City,
Lawndale,0.105,10.5,Los Angeles,City,
Lemon Grove,0.0875,8.75,San Diego,City,
Lemoore,0.0825,8.25,Kings,City,
Lincoln,0.0725,7.249999999999999,Placer,City,
Lindsay,0.0875,8.75,Tulare,City,
Live Oak,0.0725,7.249999999999999,Sutter,City,
Livermore,0.1025,10.25,Alameda,City,
Livingston,0.0875,8.75,Merced,City,
Lodi,0.0825,8.25,San Joaquin,City,
Loma Linda,0.0775,7.75,San Bernardino,City,
Lomita,0.105,10.5,Los Angeles,City,
Lompoc,0.0875,8.75,Santa Barbara,City,
Long Beach,0.105,10.5,Los Angeles,City,
Loomis,0.075,7.5,Placer,City,
Los Alamitos,0.0925,9.25,Orange,City,
Los Altos,0.09125,9.125,Santa Clara,City,
Los Altos Hills,0.09125,9.125,Santa Clara,City,
Los Angeles,0.0975,9.75,Los Angeles,City,
Los Angeles County,0.0975,9.75,Los Angeles,County,
Los Banos,0.0875,8.75,Merced,City,
Los Gatos,0.0925,9.25,Santa Clara,City,
Loyalton,0.0725,7.249999999999999,Sierra,City,
Lynwood,0.1075,10.75,Los Angeles,City,
Madera,0.0825,8.25,Madera,City,
Madera County,0.0775,7.75,Madera,County,
Malibu,0.1025,10.25,Los Angeles,City,
Mammoth Lakes,0.0775,7.75,Mono,City,
Manhattan Beach,0.1025,10.25,Los Angeles,City,
Manteca,0.09,9.0,San Joaquin,City,
Maricopa,0.0825,8.25,Kern,City,
Marina,0.0925,9.25,Monterey,City,
Marin County,0.0825,8.25,Marin,County,
Mariposa County,0.0825,8.25,Mariposa,County,
Martinez,0.0975,9.75,Contra Costa,City,
Marysville,0.0825,8.25,Yuba,City,
Maywood,0.0975,9.75,Los Angeles,City,
